"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrez","symbol"
"ENSG00000084112",3464.56670570648,0.0899786647611706,0.047484633466135,1.89490069088016,0.0581055596405081,0.0981239965789052,"54434","SSH1"
"ENSG00000172292",193.444860722763,-0.264024295821963,0.13933661110842,-1.89486663786104,0.0581100720681697,0.0981239965789052,"253782","CERS6"
"ENSG00000163251",10.6536920912964,1.0942074735774,0.577522751219301,1.89465691397827,0.0581378693816866,0.0981596882744069,"7855","FZD5"
"ENSG00000185621",176.326636260962,0.263713693187777,0.139219714684266,1.8942266458874,0.0581949327468608,0.0982447787884575,"89782","LMLN"
"ENSG00000163029",468.182602435133,0.170968124893686,0.0902887768110387,1.89357006410107,0.0582821001522475,0.0983806656790544,"79677","SMC6"
"ENSG00000241043",15.6376638388642,-0.868320584834295,0.458718693574488,-1.89292609391619,0.0583676985851643,0.0985138733105992,NA,NA
"ENSG00000177054",175.412296194051,0.258885882982012,0.13677081176187,1.8928445305476,0.058378547678276,0.0985209018301192,"54503","ZDHHC13"
"ENSG00000144199",12.5511138951543,-0.996575884263866,0.527080775389483,-1.89074603134112,0.0586582545400938,0.0989816069855624,"151313","FAHD2B"
"ENSG00000099956",1224.51493123758,0.120641658901516,0.0638189849124912,1.89037257591828,0.0587081485058977,0.0990544582346789,"6598","SMARCB1"
"ENSG00000113272",149.462815236788,-0.282123476104735,0.149273403998939,-1.88997817793945,0.0587608786709828,0.0991320775930568,"54974","THG1L"
"ENSG00000092108",968.836412164144,-0.128697037802121,0.0681260381265208,-1.88910204293856,0.0588781567671464,0.0993185617985811,"23256","SCFD1"
"ENSG00000142453",1380.48020198043,-0.10982847936457,0.0581439605254859,-1.88890605957998,0.058904417381117,0.0993514881394944,"10498","CARM1"
"ENSG00000183161",157.199830759438,0.278800650455776,0.147675955472043,1.88792176468129,0.0590364541908234,0.0995627945834026,"2188","FANCF"
"ENSG00000203791",99.4831885055145,-0.344928340771724,0.182765240283607,-1.88727539348554,0.0591232942858504,0.0996978388083367,"399818","EEF1AKMT2"
"ENSG00000197885",180.852129395015,-0.26004903038955,0.137801525916944,-1.887127364223,0.0591431969599905,0.0997199904812195,"28512","NKIRAS1"
"ENSG00000007341",138.060501640985,0.288002818821993,0.152630335548898,1.88693039156509,0.0591696887423504,0.0997532455599131,"54879","ST7L"
"ENSG00000078401",187.05654488053,-0.502440217010065,0.26636727908312,-1.88626853395637,0.059258777252165,0.0998920117971414,"1906","EDN1"
"ENSG00000196177",266.674768739498,-0.225484704804356,0.119553337572534,-1.88605947255594,0.0592869408227395,0.0999280573931307,"36","ACADSB"
"ENSG00000100416",368.613938602858,-0.181951653245254,0.0964813883425199,-1.88587308258153,0.0593120595925129,0.0999589633246946,"55687","TRMU"
"ENSG00000169020",309.057754500973,-0.198208599467685,0.105120225227207,-1.88554199764389,0.0593566998973684,0.100022758185161,"521","ATP5ME"
